Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,20,0.0038416526852616886,0.010524741740481125,0.0384318463731346,0,0,5174,0,0.07459738490772455,0.09300671290875193,0.07344648441256259,0.49217885921946597
cf,not_used,1,0,50,10,0.004332444650514467,0.007251632936507928,0.02211,0,0,0,0,0.08045363822380666,0.09298456936381107,0.07882952656401364,0.4145994627903302
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,20,0.02306824060464503,0.06464675822308472,0.29243224766636206,0,0,14093,0,0.19547735653259027,0.212418021718101,0.1950036138292451,0.3795228314109654
reranker,frequencyScore,0.9,0.09999999999999998,50,20,0.004281711082419038,0.01008250277323332,0.04443370606061829,0,0,8748,0,0.08586533010258356,0.10445312590173578,0.08488523144651179,0.4751145520619371
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,20,0.036602224176589225,0.1832349919239584,0.4793049597882274,0,0,8748,0,0.25183229238131694,0.2693526069435958,0.25347712575212594,0.3946911044398799
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,1,0.0445758724636944,0.03207559732540262,0.03207559732540262,0,0,8748,0,0.28651767574439896,0.28202953836215383,0.284403190250889,0.25075051350924316
cf,not_used,1,0,20,3,0.005122676867199619,0.004944500000000012,0.007964,0,0,0,0,0.08311614980286304,0.08681370878759978,0.08211400337225301,0.3060515089271607
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,10,0.03783231547869728,0.08363236073288163,0.2521215594016456,0,0,8748,0,0.2641367866812471,0.291186993012177,0.26128223562607605,0.36956865223574026
cf,not_used,1,0,100,20,0.0035786484293478214,0.008215925867041878,0.036334,0,0,0,0,0.07450576972458306,0.09291952202224733,0.07335226132120151,0.4784326117870122
reranker,frequencyScore,0.1,0.9,100,3,0.05495847477932855,0.07993958862245652,0.09921118320490675,0,0,14093,0,0.24360315828263956,0.2539355055517971,0.24045545061456647,0.3073155316795702
reranker,frequencyScoreNormalizedLog2,0.1,0.9,100,5,0.07848955921097107,0.1548043240048517,0.2621129579159089,0,0,14093,0,0.37607047553352946,0.4062999916808886,0.3699464400790426,0.29404329277927005
bridges,frequencyScoreNormalizedLog2,0,0,20,5,0.09359741144058792,0.18981525000016583,0.307726,0,0,0,0,0.3987341911222658,0.42964442836396993,0.3890579439753262,0.4066993205877706
reranker,frequencyScore,0.1,0.9,20,1,0.14466017873714423,0.10223496370219516,0.10223496370219516,0,0,5174,0,0.42558815580792675,0.4252712815054183,0.4198580692725409,0.2581766471796492
reranker,frequencyScoreNormalizedLog2,0.3,0.7,20,5,0.07499320545932953,0.13115930155942762,0.25138868505648226,0,0,5174,0,0.3694975893031197,0.4022547925955249,0.3620929744785725,0.3548743877389793
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,3,0.010373985496029444,0.010824212290476596,0.01721663402329023,0,0,14093,0,0.13364173908767965,0.14122663444580827,0.1308087820967849,0.3111075999367989
reranker,frequencyScore,0.1,0.9,20,10,0.05637206034861676,0.17064507715318747,0.37327532653951545,0,0,5174,0,0.3174080696650412,0.34626669294534684,0.31403810010548383,0.402907252330542
cf,not_used,1,0,50,3,0.005122676867199619,0.004944500000000012,0.007964,0,0,0,0,0.08311614980286304,0.08681370878759978,0.08211400337225301,0.3060515089271607
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,1,0.018321739805446196,0.011324597553318924,0.011324597553318924,0,0,14093,0,0.1781748971019877,0.17707455371622643,0.17634439886059017,0.2723969031442566
reranker,frequencyScore,0.1,0.9,50,20,0.03305219589480098,0.13203494989489412,0.42753104155149246,0,0,8748,0,0.23511537156195902,0.25816895899521125,0.2356604601908425,0.3967451414125454
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,3,0.04570100494673558,0.057521699830136774,0.09323461642448136,0,0,8748,0,0.2943164288951493,0.30228599450043225,0.29130331477070726,0.3118976141570548
cf,not_used,1,0,20,5,0.004979251188130831,0.00602924999999961,0.012785,0,0,0,0,0.08284949605472124,0.08905802764941996,0.08199325171593129,0.3507663137936483
reranker,frequencyScore,0.9,0.09999999999999998,100,5,0.0063883736556133415,0.008364835628511912,0.016873802498612953,0,0,14093,0,0.10025946036079443,0.11098853656193199,0.09735249715764818,0.34792226260072684
reranker,frequencyScore,0.3,0.7,100,1,0.018143848123963368,0.011514270615788304,0.011514270615788304,0,0,14093,0,0.14477153587870317,0.14291861592220004,0.1430837069116715,0.23589824616843103
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,20,0.005031042945694026,0.013684770871859002,0.053811745146541946,0,0,8748,0,0.10109075810457484,0.12036809263670867,0.10017498326677506,0.47337652077737397
reranker,frequencyScore,0.1,0.9,100,5,0.041036730509731424,0.08472198696224037,0.1202973505614627,0,0,14093,0,0.2211267284666442,0.23416899509196154,0.21871099759120213,0.33607204929688733
bridges,frequencyScore,0,0,20,1,0.18354461763785282,0.128004,0.128004,0,0,0,0,0.44939530879035183,0.4453196400554773,0.4454039191156705,0.21504187075367356
bridges,frequencyScore,0,0,20,10,0.05766526775561906,0.1997010039685763,0.382964,0,0,0,0,0.32135756314292735,0.3442062960874914,0.31852603184843653,0.48348870279665035
reranker,frequencyScore,0.1,0.9,20,3,0.09718775659890524,0.14083116042397675,0.1958262047835501,0,0,5174,0,0.40806928071721815,0.4259542149194623,0.4031318027156733,0.3256438615895086
reranker,frequencyScore,0.5,0.5,100,10,0.008588778636879539,0.017998977848793556,0.05007368849191658,0,0,14093,0,0.13591059636243294,0.15031477289844145,0.13428905044337133,0.40701532627587295
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,5,0.009473121286710642,0.012831906728188413,0.026101853420251606,0,0,14093,0,0.13342492901801023,0.14478036134648828,0.13093476850993546,0.3545583820508769
reranker,frequencyScore,0.3,0.7,20,20,0.037721351300450776,0.1555693043366841,0.49832433008385385,0,0,5174,0,0.26027121347899274,0.2728424206642351,0.26457793354704995,0.4830146942644968
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,20,0.004611940204252129,0.011513988106207023,0.048471103258218066,0,0,14093,0,0.08835045168764268,0.10723788687754227,0.08703604271779926,0.47258650655711804
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,5,0.0443855033321542,0.07003123322826657,0.14859995238345042,0,0,8748,0,0.28695194276950176,0.30556279637806455,0.28366250158079587,0.3392321061779112
reranker,frequencyScore,0.7,0.30000000000000004,100,1,0.009813290104827012,0.005487332983739846,0.005487332983739846,0,0,14093,0,0.11664154432119406,0.11809938737292694,0.11339210201352144,0.22151998735977246
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,20,0.03774358153987916,0.19306776010794308,0.49883095134224475,0,0,5174,0,0.2602816882145652,0.27264060875736845,0.26475514477571416,0.47669458050244906
reranker,frequencyScore,0.7,0.30000000000000004,100,10,0.007093135196485001,0.013386722170792523,0.039112208352309094,0,0,14093,0,0.11647221416029688,0.13174329235696547,0.11456896511831824,0.4044872807710539
reranker,frequencyScore,0.7,0.30000000000000004,20,20,0.003663861845874521,0.01029888929646863,0.037009487086183915,0,0,5174,0,0.07449071331122364,0.09290413975369369,0.07333833297182722,0.478274608942961
bridges,frequencyScoreNormalizedLog2,0,0,50,1,0.18354461763785282,0.128004,0.128004,0,0,0,0,0.44939530879035183,0.4453196400554773,0.4454039191156705,0.21504187075367356
bridges,frequencyScore,0,0,20,3,0.12243074609262664,0.17529600000006434,0.244503,0,0,0,0,0.4492257125259548,0.473022698278381,0.4451486572762826,0.3483962711328804
reranker,frequencyScore,0.5,0.5,100,3,0.011715203990867546,0.013111784377229102,0.02032747510667842,0,0,14093,0,0.13708576785857338,0.13838305875939733,0.134600872451128,0.30842155158792856
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,20,5,0.0058106150131157774,0.006852890187161141,0.015012675583468868,0,0,5174,0,0.0925478559006046,0.10259505356653019,0.09009995853062475,0.3507663137936483
bridges,frequencyScoreNormalizedLog2,0,0,50,10,0.05766526775561906,0.1997010039685763,0.382964,0,0,0,0,0.32135756314292735,0.3442062960874914,0.31852603184843653,0.48348870279665035
reranker,frequencyScore,0.5,0.5,20,1,0.009475610483375665,0.005349679240389777,0.005349679240389777,0,0,5174,0,0.1400114231251437,0.13702777599046229,0.1373106001545314,0.23352820350766315
bridges,frequencyScore,0,0,50,1,0.18354461763785282,0.128004,0.128004,0,0,0,0,0.44939530879035183,0.4453196400554773,0.4454039191156705,0.21504187075367356
reranker,frequencyScore,0.5,0.5,20,10,0.045986135190536084,0.04473903612201466,0.24633554008439668,0,0,5174,0,0.23343441236227938,0.255155961882139,0.22956414389293273,0.44983409701374627
bridges,frequencyScore,0,0,50,10,0.05766526775561906,0.1997010039685763,0.382964,0,0,0,0,0.32135756314292735,0.3442062960874914,0.31852603184843653,0.48348870279665035
reranker,frequencyScore,0.9,0.09999999999999998,20,10,0.0048909047856357845,0.008183738296868566,0.025302917294079567,0,0,5174,0,0.08919874636886242,0.10534911571812597,0.08717398674748406,0.41396745141412544
reranker,frequencyScore,0.5,0.5,50,20,0.020985948090550283,0.027711488158956667,0.21301142393659736,0,0,8748,0,0.1532656776144211,0.17431861610430857,0.1515987116700712,0.478274608942961
reranker,frequencyScore,0.7,0.30000000000000004,100,3,0.009107191165818875,0.009486188859598168,0.015024743713149415,0,0,14093,0,0.11931219701277936,0.125219197978407,0.11633549987629382,0.30399747195449517
bridges,frequencyScoreNormalizedLog2,0,0,50,3,0.12243074609262664,0.17529600000006434,0.244503,0,0,0,0,0.4492257125259548,0.473022698278381,0.4451486572762826,0.3483962711328804
bridges,frequencyScore,0,0,20,5,0.09359741144058792,0.18981525000016583,0.307726,0,0,0,0,0.3987341911222658,0.42964442836396993,0.3890579439753262,0.4066993205877706
reranker,frequencyScore,0.5,0.5,100,5,0.01055609217340178,0.015446132343114028,0.030661106980678705,0,0,14093,0,0.1390137403357873,0.14472360582632607,0.13670046646566203,0.3526623479222626
