Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,20,0.004108508142812606,0.011161311193598653,0.03974878862861207,4106,0,8996,0,0.07523893229823654,0.09349002260348162,0.07406964914788211,0.48348870279665035
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,20,0.030303289507422115,0.10437809901968376,0.38680705841439167,4106,0,41232,0,0.1748631854743564,0.1912209878920049,0.1754194970696764,0.2927792700268605
reranker,frequencyScore,0.9,0.09999999999999998,50,20,0.00449131690798995,0.010664581820472504,0.04680941959852407,4106,0,22137,0,0.08195222853111801,0.09978435509885705,0.08028161185928587,0.47432453784168116
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,20,0.041745501548274104,0.23407244494342508,0.5452520495359725,4106,0,22137,0,0.20220858804275227,0.221611144932622,0.20565208412811642,0.3052614947069047
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,1,0.0813052741503615,0.05674721722154501,0.05674721722154501,4106,0,22137,0,0.3156258527324579,0.303523886091056,0.3142395674355609,0.17159108863959552
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,10,0.049733098039710794,0.12392494446022996,0.32628982384722266,4106,0,22137,0,0.22753403090181828,0.2636700127457373,0.22525795417333433,0.2859851477326592
reranker,frequencyScore,0.1,0.9,100,3,0.08351564377948614,0.13143203213978336,0.1626827086445255,4106,0,41232,0,0.2581727701338946,0.26194914754024884,0.25372623412949863,0.24269236846263234
reranker,frequencyScoreNormalizedLog2,0.1,0.9,100,5,0.10122633280325989,0.20856079603759692,0.33796464088860767,4106,0,41232,0,0.3515226486496403,0.3955199753767736,0.346056630747082,0.15547479854637383
bridges,frequencyScoreNormalizedLog2,0,0,20,5,0.11210931820645197,0.23249330082681155,0.36333585702896093,0,0,0,0,0.359877790093828,0.4083207747265016,0.35495612084045397,0.34318217727919104
reranker,frequencyScore,0.1,0.9,20,1,0.20868053918166413,0.14228319441320178,0.14228319441320178,4106,0,8996,0,0.4520875956221718,0.4186744365804076,0.44451945897646594,0.20887975983567705
reranker,frequencyScoreNormalizedLog2,0.3,0.7,20,5,0.0941138993034385,0.16877083548660998,0.3094767645693881,4106,0,8996,0,0.3290592320196571,0.375999641721997,0.3234942236673114,0.28077105387896983
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,3,0.012423366743374901,0.013156488893452084,0.020610435944868447,4106,0,41232,0,0.12017627382634619,0.13346549886884118,0.11792800947550607,0.2983093695686522
reranker,frequencyScore,0.1,0.9,20,10,0.06729854075354469,0.22004787801241982,0.4365111693407019,4106,0,8996,0,0.26771209187685496,0.31079422791596323,0.2665398869066972,0.31173961131300365
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,1,0.02406099740904477,0.014632403929348817,0.014632403929348817,4106,0,41232,0,0.17394913089123779,0.17563617599949166,0.17532120263289022,0.2208879759835677
reranker,frequencyScore,0.1,0.9,50,20,0.03958708578377578,0.18927168488669235,0.5131752583036631,4106,0,22137,0,0.20058579708855565,0.22249950810732802,0.2022075196819478,0.3126876283773108
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,3,0.07188291148899148,0.09359076922337009,0.14354813367195307,4106,0,22137,0,0.2849636032197908,0.30117745161120774,0.2834359911152183,0.22863011534207617
reranker,frequencyScore,0.9,0.09999999999999998,100,5,0.00675383509047042,0.008927802021378014,0.017897433856171086,4106,0,41232,0,0.09554058315862225,0.1072134090089001,0.09136920001356871,0.34539421709590773
reranker,frequencyScore,0.3,0.7,100,1,0.02244748017544885,0.01408770852930147,0.01408770852930147,4106,0,41232,0,0.14122334475812995,0.13823568127810337,0.1404147700654376,0.19623953231158162
